"Mnemonic","OemCode","Manufacturer","ESTA Man Code","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_claypaky_rhapsody_1","0x2C61","CLAYPAKY","0x4350","RHAPSODY","1","1","y","y","www.claypaky.it"
"Oem_claypaky_rhapsodya_1","0x2C68","CLAYPAKY","0x4350","RHAPSODYA","1","1","y","y","www.claypaky.it"
"Oem_claypaky_sharpy_plus_1","0x2977","CLAYPAKY","0x4350 ","SHARPY PLUS","1","1","y","y","www.claypaky.it"
"Oem_claypaky_sharpy_plus_aqua_1","0x2A7B","CLAYPAKY","0x4350 ","SHARPY PLUS AQUA","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_sharpy_x_frame_1","0x2B3D","CLAYPAKY","0x4350 ","SHARPY X FRAME","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_sharpy_x_spot_1","0x2C24","CLAYPAKY","0x4350 ","SHARPY X SPOT","1","1","y","y","www.claypaky.it"
"Oem_claypaky_sinfonya_profile_600_1","0x2B20","CLAYPAKY","0x4350 ","SINFONYA PROFILE 600","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_sinfonya_profile_600ex_1","0x2C67","CLAYPAKY","0x4350","SINFONYA PROFILE 600EX","1","1","y","y","www.claypaky.it"
"Oem_claypaky_sinfonya_profile_hp_1","0x2C66","CLAYPAKY","0x4350","SINFONYA PROFILE HP","1","1","y","y","www.claypaky.it"
"Oem_claypaky_skylos_1","0x2C0F","CLAYPAKY","0x4350 ","SKYLOS","1","1","y","y","http://www.claypaky.it"
"Oem_claypaky_skylos_nv_1","0x2C69","CLAYPAKY","0x4350","SKYLOS NV","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_batten_k25_1","0x2A79","CLAYPAKY","0x4350 ","TAMBORA BATTEN K25","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_tambora_batten_round_1","0x2B68","CLAYPAKY","0x4350 ","TAMBORA BATTEN ROUND","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_batten_square_1","0x2B67","CLAYPAKY","0x4350 ","TAMBORA BATTEN SQUARE","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_flash_1","0x2B9F","CLAYPAKY","0x4350 ","TAMBORA FLASH","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_glare_1","0x2D0C","CLAYPAKY","0x4350","TAMBORA GLARE","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_linear_100_1","0x2BA0","CLAYPAKY","0x4350 ","TAMBORA LINEAR 100","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_linear_60_1","0x2BE5","CLAYPAKY","0x4350 ","TAMBORA LINEAR 60","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_rays_1","0x2D0E","CLAYPAKY","0x4350","TAMBORA RAYS","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_stormy_1","0x2D0D","CLAYPAKY","0x4350","TAMBORA STORMY","1","1","y","y","www.claypaky.it"
"Oem_claypaky_tambora_stormy_linear_1","0x2D0B","CLAYPAKY","0x4350","TAMBORA STORMY LINEAR","1","1","y","y","www.claypaky.it"
"Oem_claypaky_ultimo_beam_1","0x2D08","CLAYPAKY","0x4350","ULTIMO BEAM","1","1","y","y","www.claypaky.it"
"Oem_claypaky_ultimo_hybrid_1","0x2D0A","CLAYPAKY","0x4350","ULTIMO HYBRID","1","1","y","y","www.claypaky.it"
"Oem_claypaky_ultimo_sharpy_1","0x2D09","CLAYPAKY","0x4350","ULTIMO SHARPY","1","1","y","y","www.claypaky.it"
"Oem_claypaky_ultimo_skybeam_1","0x2DB7","CLAYPAKY","0x4350","ULTIMO SKYBEAM","1","1","y","y","www.claypaky.it"
"Oem_claypaky_volero_batten_aqua_1","0x2B39","CLAYPAKY","0x4350 ","VOLERO BATTEN AQUA","1","1","y","y","https://www.claypaky.it"
"Oem_claypaky_volero_cube_1","0x2D03","CLAYPAKY","0x4350","VOLERO CUBE","1","1","y","y","www.claypaky.it"
